month,group,customer_age,customer_type,avg_order_value_gbp,orders_last_90d,web_sessions_last_30d,discount_eligible,area_affluence_score,made_purchase_30d,tracking_version
2022-01,Control,31,Existing,35.71,2,1.0,No,29,No,v1
2022-01,Control,37,Existing,24.59,1,5.0,Yes,18,No,v1
2022-01,Treatment,33,New,46.2,1,2.0,Yes,27,No,v1
2022-01,Treatment,47,New,45.63,2,9.0,Yes,38,Yes,v1
2022-01,Treatment,18,New,36.83,1,,Yes,26,No,v1
2022-01,Treatment,57,New,41.58,1,,Yes,32,No,v1
2022-01,Treatment,54,Existing,41.29,3,10.0,Yes,33,Yes,v1
2022-01,Treatment,22,New,31.91,1,10.0,Yes,22,No,v1
2022-01,Treatment,53,New,40.8,2,9.0,Yes,38,No,v1
2022-01,Treatment,41,New,28.19,1,4.0,No,12,No,v1
2022-01,Treatment,23,New,40.41,6,3.0,No,31,Yes,v1
2022-01,Treatment,18,New,21.96,3,2.0,No,20,No,v1
2022-01,Treatment,61,Existing,42.5,2,4.0,Yes,21,No,v1
2022-01,Treatment,42,New,39.55,0,8.0,Yes,35,No,v1
2022-01,Treatment,45,Existing,34.9,4,2.0,Yes,30,Yes,v1
2022-01,Treatment,18,Existing,31.52,5,5.0,Yes,13,No,v1
2022-01,Treatment,47,New,42.23,0,,Yes,26,No,v1
2022-01,Treatment,45,Existing,40.37,4,7.0,No,23,Yes,v1
2022-01,Treatment,37,Existing,43.06,1,6.0,Yes,31,No,v1
2022-01,Treatment,43,New,26.88,0,6.0,No,11,No,v1
2022-01,Treatment,51,Existing,41.04,3,11.0,Yes,30,Yes,v1
2022-01,Treatment,59,Existing,33.37,3,1.0,No,22,Yes,v1
2022-01,Treatment,31,Existing,24.35,4,4.0,No,27,Yes,v1
2022-01,Treatment,42,Existing,42.26,1,7.0,No,31,No,v1
2022-01,Treatment,32,Existing,43.1,2,6.0,Yes,35,Yes,v1
2022-01,Treatment,39,Existing,45.96,2,4.0,No,24,Yes,v1
2022-01,Treatment,42,Existing,48.7,1,3.0,No,38,No,v1
2022-01,Treatment,45,Existing,31.66,5,6.0,No,22,Yes,v1
2022-01,Treatment,40,Existing,33.81,2,5.0,No,19,Yes,v1
2022-01,Treatment,49,Existing,27.53,3,3.0,No,25,Yes,v1
2022-01,Treatment,34,New,33.11,1,3.0,Yes,21,No,v1
2022-01,Treatment,18,New,21.77,3,7.0,Yes,10,No,v1
2022-01,Treatment,43,Existing,32.8,3,2.0,No,28,No,v1
2022-01,Treatment,20,Existing,43.64,1,7.0,Yes,24,No,v1
2022-01,Treatment,41,Existing,31.2,2,5.0,No,25,No,v1
2022-01,Treatment,50,New,37.34,3,1.0,No,10,Yes,v1
2022-01,Treatment,18,Existing,33.92,6,6.0,No,27,Yes,v1
2022-01,Treatment,46,Existing,24.9,3,2.0,No,29,Yes,v1
2022-01,Treatment,22,Existing,31.79,5,6.0,Yes,25,No,v1
2022-01,Treatment,27,New,53.75,0,3.0,No,32,Yes,v1
2022-01,Treatment,37,Existing,45.62,2,3.0,No,24,No,v1
2022-01,Treatment,46,Existing,34.84,1,10.0,Yes,14,No,v1
2022-01,Treatment,35,Existing,32.75,1,6.0,Yes,29,No,v1
2022-01,Treatment,41,Existing,48.61,5,5.0,No,29,No,v1
2022-01,Treatment,53,Existing,40.63,4,5.0,Yes,30,No,v1
2022-01,Treatment,45,Existing,45.63,7,6.0,No,42,No,v1
2022-01,Treatment,25,Existing,46.5,2,5.0,No,16,Yes,v1
2022-01,Treatment,45,Existing,35.27,2,4.0,Yes,31,No,v1
2022-01,Treatment,50,Existing,34.26,3,3.0,No,17,Yes,v1
2022-01,Treatment,18,New,15.07,0,10.0,No,14,No,v1
2022-01,Treatment,53,Existing,36.36,4,,Yes,17,Yes,v1
2022-01,Treatment,37,Existing,27.77,4,3.0,No,16,No,v1
2022-01,Treatment,22,Existing,45.87,2,4.0,No,26,No,v1
2022-01,Treatment,34,New,34.06,3,5.0,Yes,14,Yes,v1
2022-01,Treatment,55,Existing,33.73,2,6.0,Yes,34,No,v1
2022-01,Treatment,45,Existing,36.51,4,7.0,Yes,20,No,v1
2022-01,Treatment,42,Existing,31.6,4,4.0,No,24,Yes,v1
2022-01,Treatment,39,Existing,19.72,4,8.0,No,15,No,v1
2022-01,Treatment,22,Existing,43.57,3,,No,32,No,v1
2022-01,Treatment,52,Existing,25.93,1,7.0,No,22,No,v1
2022-01,Treatment,44,Existing,30.19,4,6.0,No,39,Yes,v1
2022-01,Treatment,59,New,32.24,0,10.0,Yes,33,Yes,v1
2022-01,Treatment,42,New,41.64,3,4.0,No,16,No,v1
2022-01,Treatment,29,Existing,29.01,1,4.0,No,26,No,v1
2022-01,Treatment,36,Existing,38.76,6,7.0,No,26,Yes,v1
2022-01,Treatment,39,New,34.98,1,2.0,No,23,No,v1
2022-01,Treatment,43,Existing,37.6,6,6.0,No,12,Yes,v1
2022-01,Treatment,50,Existing,38.54,3,8.0,No,32,Yes,v1
2022-01,Treatment,18,Existing,41.73,2,1.0,No,26,Yes,v1
2022-01,Treatment,48,New,42.48,0,5.0,No,28,No,v1
2022-02,Control,34,Existing,44.68,0,,No,17,No,v1
2022-02,Control,45,Existing,29.0,0,5.0,No,18,No,v1
2022-02,Control,23,New,11.71,5,4.0,Yes,22,No,v1
2022-02,Control,54,Existing,21.65,3,5.0,No,23,No,v1
2022-02,Control,25,Existing,33.03,1,7.0,No,37,Yes,v1
2022-02,Control,44,Existing,26.03,1,7.0,No,13,Yes,v1
2022-02,Control,30,New,23.06,1,2.0,No,31,Yes,v1
2022-02,Control,44,Existing,38.18,3,,No,22,No,v1
2022-02,Control,43,Existing,46.13,1,5.0,No,28,Yes,v1
2022-02,Control,49,Existing,37.96,3,2.0,No,17,No,v1
2022-02,Control,43,Existing,37.01,1,6.0,No,25,Yes,v1
2022-02,Control,24,New,27.35,0,8.0,Yes,28,Yes,v1
2022-02,Control,42,Existing,42.1,2,,No,30,Yes,v1
2022-02,Control,18,New,38.85,1,4.0,Yes,24,Yes,v1
2022-02,Control,51,Existing,30.39,2,10.0,No,25,Yes,v1
2022-02,Control,58,Existing,34.15,2,3.0,Yes,18,Yes,v1
2022-02,Control,48,Existing,55.15,3,3.0,No,26,No,v1
2022-02,Control,37,Existing,37.82,2,7.0,Yes,27,Yes,v1
2022-02,Control,23,New,41.64,3,5.0,Yes,27,Yes,v1
2022-02,Control,33,Existing,39.53,1,4.0,No,21,No,v1
2022-02,Control,19,Existing,26.01,1,4.0,No,19,Yes,v1
2022-02,Control,33,New,50.68,3,9.0,Yes,26,No,v1
2022-02,Control,40,Existing,38.58,3,5.0,No,21,Yes,v1
2022-02,Control,30,Existing,20.99,1,,No,18,Yes,v1
2022-02,Control,29,Existing,34.54,2,6.0,No,25,No,v1
2022-02,Control,33,New,32.92,1,1.0,No,13,No,v1
2022-02,Control,29,New,35.13,1,6.0,No,12,Yes,v1
2022-02,Control,49,New,31.43,0,2.0,No,32,No,v1
2022-02,Control,36,Existing,44.24,4,3.0,No,39,No,v1
2022-02,Control,57,Existing,38.98,2,5.0,Yes,34,Yes,v1
2022-02,Control,52,Existing,50.92,3,3.0,Yes,33,No,v1
2022-02,Control,41,Existing,45.76,3,6.0,No,27,No,v1
2022-02,Control,28,Existing,41.22,6,3.0,No,24,No,v1
2022-02,Control,55,Existing,34.64,1,3.0,No,25,No,v1
2022-02,Control,53,Existing,49.76,3,4.0,No,28,Yes,v1
2022-02,Control,58,Existing,51.21,1,5.0,Yes,20,No,v1
2022-02,Control,18,New,37.86,0,6.0,No,33,No,v1
2022-02,Control,50,Existing,42.53,0,4.0,No,31,No,v1
2022-02,Control,53,Existing,31.18,2,3.0,Yes,21,No,v1
2022-02,Control,36,Existing,34.49,4,6.0,No,23,No,v1
2022-02,Control,35,New,40.19,0,,Yes,31,No,v1
2022-02,Control,53,Existing,35.26,2,3.0,No,36,No,v1
2022-02,Control,21,Existing,41.21,1,2.0,No,24,Yes,v1
2022-02,Control,29,New,36.69,3,6.0,Yes,34,No,v1
2022-02,Control,32,New,50.42,5,8.0,Yes,40,No,v1
2022-02,Control,20,Existing,45.25,2,6.0,Yes,29,No,v1
2022-02,Control,53,Existing,45.88,3,11.0,No,26,No,v1
2022-02,Control,51,Existing,28.54,5,6.0,No,16,Yes,v1
2022-02,Control,26,New,40.81,2,7.0,No,25,No,v1
2022-02,Control,59,Existing,28.15,4,5.0,Yes,24,No,v1
2022-02,Control,33,Existing,31.69,2,4.0,No,23,No,v1
2022-02,Control,60,Existing,47.8,1,6.0,Yes,29,No,v1
2022-02,Control,35,New,44.89,0,6.0,No,23,No,v1
2022-02,Control,18,Existing,45.47,2,4.0,No,28,Yes,v1
2022-02,Control,18,New,29.25,2,7.0,No,27,No,v1
2022-02,Control,31,Existing,43.85,0,,Yes,30,Yes,v1
2022-02,Control,43,Existing,52.92,3,6.0,No,33,No,v1
2022-02,Control,48,Existing,30.46,3,2.0,No,24,No,v1
2022-02,Control,37,New,31.3,1,9.0,Yes,26,No,v1
2022-02,Control,30,Existing,31.44,1,3.0,Yes,20,No,v1
2022-02,Control,29,New,32.68,1,3.0,No,15,Yes,v1
2022-02,Control,22,Existing,48.26,4,6.0,Yes,43,No,v1
2022-02,Control,28,New,39.21,2,,Yes,31,No,v1
2022-02,Control,49,Existing,35.29,1,7.0,No,20,No,v1
2022-02,Control,32,Existing,36.4,3,6.0,No,28,Yes,v1
2022-02,Control,34,Existing,33.63,2,4.0,No,17,No,v1
2022-02,Control,48,Existing,29.28,1,5.0,No,22,Yes,v1
2022-02,Control,33,Existing,35.34,4,5.0,No,32,No,v1
2022-02,Control,36,New,32.78,0,6.0,No,23,No,v1
2022-02,Control,48,Existing,44.68,4,5.0,Yes,26,No,v1
2022-02,Control,43,Existing,49.84,5,6.0,No,28,Yes,v1
2022-02,Treatment,61,Existing,42.02,8,5.0,No,25,Yes,v1
2022-02,Treatment,43,Existing,38.66,1,8.0,Yes,32,No,v1
2022-02,Treatment,45,Existing,32.16,4,5.0,No,25,Yes,v1
2022-02,Treatment,42,New,36.03,4,3.0,Yes,32,No,v1
2022-02,Treatment,44,Existing,35.68,5,3.0,No,24,No,v1
2022-02,Treatment,30,New,27.38,3,5.0,Yes,18,Yes,v1
2022-02,Treatment,34,Existing,43.23,4,4.0,No,40,Yes,v1
2022-02,Treatment,45,Existing,42.65,2,4.0,Yes,31,No,v1
2022-02,Treatment,46,Existing,28.85,1,0.0,No,30,No,v1
2022-02,Treatment,65,Existing,42.44,2,1.0,No,24,No,v1
2022-02,Treatment,39,New,33.59,0,5.0,Yes,19,No,v1
2022-02,Treatment,28,New,42.17,5,4.0,No,28,Yes,v1
2022-02,Treatment,27,New,30.93,1,3.0,Yes,29,No,v1
2022-02,Treatment,48,New,35.52,1,6.0,No,16,Yes,v1
2022-02,Treatment,41,Existing,33.12,0,9.0,Yes,30,Yes,v1
2022-02,Treatment,26,Existing,28.64,5,2.0,Yes,30,Yes,v1
2022-02,Treatment,39,New,32.32,0,8.0,No,29,No,v1
2022-02,Treatment,43,Existing,30.63,5,,No,18,Yes,v1
2022-02,Treatment,18,New,26.12,1,6.0,No,20,No,v1
2022-02,Treatment,48,Existing,26.63,7,3.0,No,21,No,v1
2022-02,Treatment,39,Existing,44.08,3,4.0,No,27,No,v1
2022-02,Treatment,33,Existing,27.12,1,4.0,Yes,24,No,v1
2022-02,Treatment,56,New,48.28,6,4.0,Yes,31,No,v1
2022-02,Treatment,35,New,28.81,3,2.0,Yes,10,No,v1
2022-02,Treatment,41,Existing,38.11,1,5.0,No,21,No,v1
2022-02,Treatment,35,Existing,30.72,7,7.0,No,18,No,v1
2022-02,Treatment,23,Existing,35.18,1,7.0,No,25,No,v1
2022-02,Treatment,46,Existing,34.52,3,12.0,Yes,28,No,v1
2022-02,Treatment,35,New,21.73,3,5.0,Yes,14,No,v1
2022-02,Treatment,58,Existing,39.35,4,7.0,No,12,No,v1
2022-02,Treatment,50,Existing,34.95,4,3.0,No,27,No,v1
2022-02,Treatment,49,Existing,41.91,0,6.0,No,17,No,v1
2022-02,Treatment,38,Existing,30.14,1,3.0,Yes,29,Yes,v1
2022-02,Treatment,18,New,29.59,1,5.0,No,25,No,v1
2022-02,Treatment,46,Existing,39.03,4,5.0,Yes,24,No,v1
2022-02,Treatment,37,New,36.21,1,5.0,Yes,17,No,v1
2022-02,Treatment,18,New,28.96,2,4.0,No,28,Yes,v1
2022-02,Treatment,41,Existing,47.35,2,3.0,No,35,No,v1
2022-02,Treatment,42,Existing,34.49,0,4.0,No,31,No,v1
2022-02,Treatment,46,New,28.93,4,11.0,Yes,34,Yes,v1
2022-02,Treatment,25,Existing,35.39,3,8.0,No,15,No,v1
2022-02,Treatment,42,Existing,40.35,2,4.0,Yes,26,No,v1
2022-02,Treatment,25,Existing,40.32,7,5.0,Yes,39,No,v1
2022-02,Treatment,32,Existing,33.27,1,5.0,No,21,No,v1
2022-02,Treatment,47,Existing,41.49,2,1.0,Yes,30,No,v1
2022-02,Treatment,53,Existing,34.65,5,4.0,Yes,32,No,v1
2022-02,Treatment,18,New,29.3,1,5.0,No,20,Yes,v1
2022-02,Treatment,36,Existing,39.32,3,4.0,No,24,No,v1
2022-02,Treatment,19,New,47.97,1,6.0,No,28,Yes,v1
2022-02,Treatment,42,Existing,34.66,4,6.0,Yes,38,No,v1
2022-02,Treatment,18,Existing,46.83,7,2.0,No,20,No,v1
2022-03,Control,39,Existing,32.94,3,7.0,No,23,No,v1
2022-03,Control,45,Existing,30.26,1,4.0,Yes,39,Yes,v1
2022-03,Control,22,New,36.68,1,8.0,Yes,26,No,v1
2022-03,Control,20,New,47.13,0,4.0,Yes,28,Yes,v1
2022-03,Control,37,Existing,40.98,5,3.0,No,24,Yes,v1
2022-03,Control,18,New,39.96,1,6.0,Yes,43,No,v1
2022-03,Control,39,New,29.45,1,3.0,No,23,No,v1
2022-03,Control,55,Existing,47.71,3,6.0,No,28,No,v1
2022-03,Control,27,New,38.5,2,7.0,Yes,42,No,v1
2022-03,Control,29,Existing,37.41,3,5.0,No,21,No,v1
2022-03,Control,32,Existing,32.83,1,7.0,No,21,No,v1
2022-03,Control,46,New,48.96,3,7.0,No,27,No,v1
2022-03,Control,44,Existing,35.85,6,,No,28,No,v1
2022-03,Control,24,Existing,37.29,2,2.0,No,19,No,v1
2022-03,Control,52,Existing,33.08,1,0.0,No,31,Yes,v1
2022-03,Control,26,New,47.52,1,1.0,No,25,No,v1
2022-03,Control,36,Existing,26.01,1,10.0,No,23,Yes,v1
2022-03,Control,51,Existing,47.81,2,3.0,No,29,No,v1
2022-03,Control,42,New,26.79,1,5.0,Yes,21,No,v1
2022-03,Control,48,New,37.94,2,6.0,Yes,23,No,v1
2022-03,Control,45,Existing,30.01,2,5.0,No,23,Yes,v1
2022-03,Control,54,Existing,40.87,6,9.0,No,29,Yes,v1
2022-03,Control,50,New,41.15,2,5.0,Yes,26,Yes,v1
2022-03,Control,45,Existing,41.32,1,6.0,No,14,No,v1
2022-03,Control,48,Existing,62.36,6,0.0,No,25,Yes,v1
2022-03,Control,46,Existing,42.73,2,3.0,No,39,Yes,v1
2022-03,Control,42,Existing,38.3,1,6.0,No,20,No,v1
2022-03,Control,18,New,48.26,1,7.0,Yes,33,No,v1
2022-03,Control,46,Existing,54.28,4,4.0,Yes,38,No,v1
2022-03,Control,46,Existing,31.6,2,4.0,No,22,No,v1
2022-03,Control,42,Existing,36.31,3,3.0,Yes,26,No,v1
2022-03,Control,24,New,52.25,0,3.0,No,47,No,v1
2022-03,Control,64,Existing,42.37,3,3.0,No,17,No,v1
2022-03,Control,46,Existing,28.09,0,5.0,No,19,No,v1
2022-03,Control,59,New,51.42,2,7.0,Yes,28,No,v1
2022-03,Control,40,Existing,36.6,3,5.0,Yes,22,Yes,v1
2022-03,Control,28,Existing,32.63,2,5.0,Yes,27,No,v1
2022-03,Control,53,New,30.63,4,4.0,Yes,25,Yes,v1
2022-03,Control,25,Existing,32.46,1,4.0,No,24,No,v1
2022-03,Control,45,Existing,34.19,4,4.0,Yes,10,No,v1
2022-03,Control,32,New,54.56,1,5.0,Yes,22,No,v1
2022-03,Control,63,Existing,30.89,3,13.0,Yes,32,Yes,v1
2022-03,Control,18,Existing,34.79,5,3.0,No,27,Yes,v1
2022-03,Control,43,Existing,29.15,2,6.0,No,32,Yes,v1
2022-03,Control,53,New,41.05,1,2.0,Yes,32,No,v1
2022-03,Control,39,New,39.95,2,3.0,No,13,Yes,v1
2022-03,Control,63,Existing,38.57,1,5.0,No,37,No,v1
2022-03,Control,38,New,18.44,3,6.0,No,30,No,v1
2022-03,Control,51,Existing,38.81,1,6.0,No,27,Yes,v1
2022-03,Control,51,Existing,30.18,2,5.0,No,32,Yes,v1
2022-03,Control,43,Existing,56.16,2,7.0,No,40,No,v1
2022-03,Control,27,New,28.9,2,4.0,No,18,No,v1
2022-03,Control,41,Existing,29.25,3,5.0,No,25,Yes,v1
2022-03,Control,22,Existing,37.7,2,8.0,No,23,No,v1
2022-03,Control,24,New,29.0,3,3.0,No,18,No,v1
2022-03,Control,33,Existing,32.28,2,1.0,No,25,No,v1
2022-03,Control,48,Existing,38.83,3,6.0,No,29,Yes,v1
2022-03,Control,37,Existing,30.64,4,4.0,No,27,No,v1
2022-03,Control,38,Existing,40.24,2,5.0,No,25,Yes,v1
2022-03,Control,44,Existing,40.24,3,6.0,Yes,32,No,v1
2022-03,Control,43,New,36.39,0,6.0,No,24,No,v1
2022-03,Control,65,Existing,42.29,3,7.0,Yes,30,No,v1
2022-03,Control,20,New,45.74,2,,No,39,No,v1
2022-03,Control,59,Existing,26.65,2,8.0,No,21,No,v1
2022-03,Control,23,New,26.79,0,2.0,Yes,15,No,v1
2022-03,Control,60,New,32.69,1,7.0,Yes,13,Yes,v1
2022-03,Control,37,New,24.6,1,4.0,No,17,No,v1
2022-03,Control,32,New,30.76,1,5.0,No,29,No,v1
2022-03,Control,45,Existing,28.94,0,7.0,No,22,Yes,v1
2022-03,Treatment,56,Existing,39.13,3,5.0,Yes,26,No,v1
2022-03,Treatment,31,Existing,36.57,1,4.0,No,38,Yes,v1
2022-03,Treatment,64,Existing,44.56,2,6.0,Yes,35,Yes,v1
2022-03,Treatment,45,Existing,36.71,7,7.0,No,22,No,v1
2022-03,Treatment,47,Existing,37.64,3,5.0,No,28,No,v1
2022-03,Treatment,33,Existing,34.24,3,6.0,Yes,29,Yes,v1
2022-03,Treatment,52,Existing,34.02,2,7.0,No,20,Yes,v1
2022-03,Treatment,32,Existing,23.95,1,5.0,No,14,No,v1
2022-03,Treatment,37,New,39.27,2,,Yes,33,No,v1
2022-03,Treatment,39,Existing,42.63,3,7.0,No,24,Yes,v1
2022-03,Treatment,37,New,52.09,1,1.0,No,24,No,v1
2022-03,Treatment,41,Existing,36.51,2,3.0,Yes,29,Yes,v1
2022-03,Treatment,31,New,30.18,1,5.0,Yes,24,Yes,v1
2022-03,Treatment,38,Existing,33.61,5,3.0,Yes,25,Yes,v1
2022-03,Treatment,47,Existing,30.67,8,4.0,No,24,No,v1
2022-03,Treatment,41,Existing,43.84,3,9.0,Yes,15,No,v1
2022-03,Treatment,35,New,37.08,1,3.0,No,25,No,v1
2022-03,Treatment,39,New,39.96,0,3.0,Yes,30,No,v1
2022-03,Treatment,22,Existing,45.42,3,5.0,No,24,No,v1
2022-03,Treatment,18,New,42.38,2,9.0,No,35,No,v1
2022-03,Treatment,33,Existing,50.12,5,3.0,No,31,Yes,v1
2022-03,Treatment,27,Existing,26.67,5,2.0,No,15,Yes,v1
2022-03,Treatment,49,Existing,27.23,3,5.0,Yes,21,Yes,v1
2022-03,Treatment,47,Existing,35.17,7,4.0,Yes,19,Yes,v1
2022-03,Treatment,24,New,27.02,2,6.0,No,18,Yes,v1
2022-03,Treatment,32,Existing,44.73,2,3.0,No,29,Yes,v1
2022-03,Treatment,44,Existing,36.51,4,5.0,Yes,26,Yes,v1
2022-03,Treatment,36,Existing,35.67,2,7.0,Yes,25,Yes,v1
2022-03,Treatment,35,New,28.05,1,6.0,Yes,23,Yes,v1
2022-03,Treatment,22,Existing,34.69,4,8.0,Yes,20,No,v1
2022-03,Treatment,57,Existing,30.13,3,6.0,Yes,22,No,v1
2022-03,Treatment,69,Existing,32.65,0,6.0,Yes,15,No,v1
2022-03,Treatment,49,New,41.99,2,,No,21,No,v1
2022-03,Treatment,40,Existing,25.6,1,6.0,No,19,No,v1
2022-03,Treatment,24,New,35.91,1,,No,30,No,v1
2022-03,Treatment,51,Existing,29.68,2,4.0,Yes,28,Yes,v1
2022-03,Treatment,47,Existing,43.74,3,3.0,No,28,No,v1
2022-03,Treatment,26,New,32.89,0,3.0,Yes,32,No,v1
2022-03,Treatment,46,Existing,25.35,3,,No,17,No,v1
2022-03,Treatment,28,New,39.42,0,,No,24,No,v1
2022-03,Treatment,58,Existing,36.49,4,5.0,No,17,No,v1
2022-03,Treatment,29,New,39.2,2,7.0,Yes,27,Yes,v1
2022-03,Treatment,49,Existing,36.39,3,6.0,No,28,No,v1
2022-03,Treatment,66,New,52.24,4,2.0,No,27,No,v1
2022-03,Treatment,53,Existing,50.54,2,3.0,Yes,26,No,v1
2022-03,Treatment,31,Existing,40.36,6,6.0,No,14,No,v1
2022-03,Treatment,34,Existing,52.76,5,3.0,No,29,No,v1
2022-03,Treatment,21,Existing,25.27,3,6.0,No,36,No,v1
2022-03,Treatment,36,New,34.03,0,8.0,Yes,19,Yes,v1
2022-03,Treatment,43,Existing,38.63,3,5.0,Yes,31,Yes,v1
2022-03,Treatment,43,New,30.96,3,4.0,No,13,Yes,v1
2022-03,Treatment,49,New,49.51,2,3.0,No,19,Yes,v1
2022-03,Treatment,61,Existing,46.68,2,4.0,No,25,No,v1
2022-03,Treatment,27,Existing,33.15,3,7.0,Yes,22,No,v1
2022-03,Treatment,36,Existing,24.96,1,3.0,No,16,No,v1
2022-03,Treatment,46,New,36.66,0,5.0,Yes,31,No,v1
2022-03,Treatment,72,Existing,33.26,2,7.0,Yes,23,No,v1
2022-03,Treatment,50,Existing,38.47,4,3.0,No,32,No,v1
2022-03,Treatment,56,Existing,33.92,6,,Yes,18,Yes,v1
2022-03,Treatment,28,New,46.32,1,7.0,No,35,No,v1
2022-03,Treatment,50,New,37.63,3,4.0,No,26,Yes,v1
2022-03,Treatment,31,Existing,37.07,0,1.0,No,31,No,v1
2022-03,Treatment,43,Existing,38.97,1,6.0,Yes,29,Yes,v1
2022-03,Treatment,41,Existing,37.65,1,3.0,Yes,14,No,v1
2022-03,Treatment,46,New,26.8,0,6.0,Yes,19,Yes,v1
2022-03,Treatment,37,Existing,34.45,3,3.0,No,16,No,v1
2022-03,Treatment,42,Existing,41.13,1,3.0,No,23,Yes,v1
2022-03,Treatment,36,Existing,38.52,1,5.0,Yes,27,No,v1
2022-03,Treatment,52,Existing,38.32,1,5.0,No,30,No,v1
2022-03,Treatment,23,Existing,50.51,4,,No,33,Yes,v1
2022-04,Control,48,Existing,33.28,1,6.0,No,20,No,v1
2022-04,Control,65,Existing,29.33,1,4.0,No,25,Yes,v1
2022-04,Control,47,Existing,56.94,2,6.0,Yes,37,Yes,v1
2022-04,Control,32,Existing,28.37,5,2.0,No,10,No,v1
2022-04,Control,47,New,44.99,0,7.0,No,20,Yes,v1
2022-04,Control,37,New,50.88,0,3.0,Yes,21,Yes,v1
2022-04,Control,32,New,21.03,0,5.0,Yes,15,No,v1
2022-04,Control,18,Existing,29.88,2,9.0,No,25,Yes,v1
2022-04,Control,67,Existing,17.67,2,9.0,Yes,14,Yes,v1
2022-04,Control,44,Existing,33.17,5,5.0,No,20,No,v1
2022-04,Control,48,Existing,22.9,3,7.0,No,24,Yes,v1
2022-04,Control,28,New,35.06,3,5.0,No,21,Yes,v1
2022-04,Control,35,New,28.21,2,4.0,Yes,32,No,v1
2022-04,Control,35,New,37.0,3,5.0,Yes,22,No,v1
2022-04,Control,28,Existing,43.25,1,3.0,No,19,Yes,v1
2022-04,Control,18,Existing,30.05,2,9.0,No,29,No,v1
2022-04,Control,53,New,23.7,2,8.0,No,26,No,v1
2022-04,Control,57,Existing,32.3,3,1.0,No,15,No,v1
2022-04,Control,25,Existing,33.96,3,4.0,Yes,24,No,v1
2022-04,Control,46,Existing,38.28,3,4.0,No,16,No,v1
2022-04,Control,66,Existing,35.52,3,4.0,Yes,22,Yes,v1
2022-04,Control,29,Existing,31.07,5,3.0,No,19,Yes,v1
2022-04,Control,48,Existing,31.41,3,5.0,Yes,40,No,v1
2022-04,Control,30,Existing,35.88,2,12.0,No,26,Yes,v1
2022-04,Control,44,Existing,48.6,1,6.0,No,25,Yes,v1
